dept_id,dept_name,faculty_id,campus,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
7,"Computer Science",4,van,9819466,148779.7879,156686.0408,125991.1765,NULL,419446,6355.2424,12.2222,55,66,17,49,0
20,"Physics & Astronomy",4,van,9645709,141848.6618,144185.4364,136323.0000,79634.0000,484447,7124.2206,6.8824,29,68,12,55,1
67,"School of Population & Public Health",5,van,9499323,158322.0500,169019.0000,147625.1000,NULL,362993,6049.8833,4.0000,4,60,30,30,0
115,Paediatrics,5,van,9362177,161416.8448,178617.6875,140246.5769,NULL,335106,5777.6897,5.0000,1,58,26,32,0
15,Mathematics,4,van,9112244,138064.3030,143291.6538,121512.0000,81422.0000,286680,4343.6364,11.0769,32,66,13,52,1
1,"Electrical & Computer Engineering",3,van,8619894,156725.3455,156060.4490,166084.4000,142510.0000,536883,9761.5091,6.0000,35,55,5,49,1
45,Pathology,5,van,8239696,191620.8372,208358.5333,152995.3846,NULL,276274,6424.9767,5.0000,3,43,13,30,0
43,"Earth And Ocean Sciences",4,van,8045326,127703.5873,131507.1556,119386.7647,97929.0000,443907,7046.1429,3.8750,8,63,17,45,1
13,Chemistry,4,van,7975853,132930.8833,138295.4681,113535.8462,NULL,318787,5313.1167,7.4444,32,60,13,47,0
18,Economics,7,van,7924222,158484.4400,170687.1081,123753.7692,NULL,215630,4312.6000,13.7619,70,50,13,37,0
40,English,7,van,7003823,122874.0877,116565.6923,128165.0000,NULL,227816,3996.7719,6.0714,20,57,31,26,0
51,Psychiatry,5,van,6908063,168489.3415,188439.7391,141903.0588,161597.0000,304445,7425.4878,5.0000,2,41,17,23,1
9,"Medical Genetics",5,van,6623199,169825.6154,177504.3636,158072.8667,173505.0000,158246,4057.5897,5.0000,1,39,15,22,2
21,"Development Office",NULL,van,6533822,112652.1034,109173.2500,112835.8667,146129.0000,335179,5778.9483,5.0000,2,58,45,12,1
35,Psychology,7,van,6452115,140263.3696,145325.2500,134741.3182,NULL,240422,5226.5652,8.8750,16,46,22,24,0
71,Surgery,5,van,6088699,121773.9800,128347.4054,102917.9091,103874.0000,129205,2584.1000,6.6667,4,50,11,37,2
6,"Cellular & Physiological Sciences",5,van,6022011,146878.3171,157353.7931,121562.5833,NULL,174489,4255.8293,8.0000,9,41,12,29,0
4,Zoology,4,van,5973996,138930.1395,146785.3200,128020.1667,NULL,164103,3816.3488,5.1667,7,43,18,25,0
19,"School Of Nursing",3,van,5721019,121723.8085,141785.5000,120832.1778,NULL,348201,7408.5319,3.6667,7,47,45,2,0
52,"Educational & Counselling Psychology, & Special Education",6,van,5687867,132275.9767,136289.9333,130125.6429,NULL,172246,4005.7209,5.5000,3,43,28,15,0
84,"Family Practice",5,van,5357853,140996.1316,144012.6111,138281.3000,NULL,215005,5658.0263,3.0000,2,38,20,18,0
165,"Oral, Biological and Medical Sciences",13,van,4931569,145046.1471,161779.8421,123850.1333,NULL,167754,4933.9412,5.0000,2,34,15,19,0
11,Botany,4,van,4677665,126423.3784,129265.9583,121175.5385,NULL,93600,2529.7297,5.7500,11,37,13,24,0
