faculty_id,faculty_name,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,unknown_gender_count,male_to_female_ratio
5,"Faculty of Medicine",105599040,143282.2795,154384.1279,127905.1419,123085.7273,3593087,4875.2877,3.9107,56,737,296,430,11,1.4527
7,"Faculty of Arts",67934179,129893.2677,137244.6102,120682.4956,86387.5000,2396601,4582.4111,4.2609,230,523,226,295,2,1.3053
4,"Faculty of Science",65600505,134980.4630,142091.8498,120402.6577,85980.7500,2483615,5110.3189,4.1452,186,486,149,333,4,2.2349
3,"Faculty of Applied Science",36331901,139202.6858,146368.8786,126004.2619,106431.7500,2168432,8308.1686,3.4123,114,261,84,173,4,2.0595
15,"Sauder School of Business",33386007,189693.2216,211105.8319,144989.7018,NULL,1886933,10721.2102,3.8043,92,176,57,119,0,2.0877
6,"Faculty of Education",22869085,130680.4857,138253.4615,124590.8763,NULL,820139,4686.5086,3.7857,14,175,97,78,0,0.8041
9,"Barber Arts and Sciences",16592837,116850.9648,118764.0918,112589.9091,NULL,500830,3526.9718,4.8750,8,142,44,98,0,2.2273
13,"Faculty of Dentistry",10537264,138648.2105,150869.9730,128231.9211,82262.0000,368628,4850.3684,5.0000,2,76,38,37,1,0.9737
11,"Faculty of Forestry",9206653,133429.7536,141557.4375,116832.9000,75238.0000,627476,9093.8551,3.0833,12,69,20,48,1,2.4000
8,"Faculty of Law",8427249,171984.6735,181364.8750,162979.6800,NULL,365032,7449.6327,4.2727,11,49,25,24,0,0.9600
19,"Faculty of Pharmaceutical Sciences",7500730,129322.9310,140590.5625,117566.3750,90119.5000,207885,3584.2241,4.3333,3,58,24,32,2,1.3333
12,"Faculty of Land and Food Systems",5980482,127244.2979,135422.6429,115192.0000,NULL,335871,7146.1915,3.0000,5,47,19,28,0,1.4737
14,"Faculty of Creative and Critical Studies",5398872,107977.4400,111111.4000,104843.4800,NULL,117184,2343.6800,5.0000,3,50,25,25,0,1.0000
20,"Faculty of Applied Science",4179532,119415.2000,121630.0000,111940.2500,NULL,196008,5600.2286,5.0000,2,35,8,27,0,3.3750
16,"Faculty of Management",2274380,142148.7500,143058.4000,140632.6667,NULL,118170,7385.6250,1.0000,1,16,6,10,0,1.6667
10,"Faculty of Health and Social Development",2073560,121974.1176,131343.6364,104796.6667,NULL,120185,7069.7059,NULL,0,17,6,11,0,1.8333
